
[https://www.owasp.org/index.php/OWASP_Security_Shepherd Security Shepherd]	Java	[https://sourceforge.net/projects/owaspshepherd/ download]	OWASP		
[https://github.com/sqlmapproject/testenv SQL injection test environment]	PHP			SQLmap Project	
[https://github.com/Audi-1/sqli-labs SQLI-labs]	PHP	[https://github.com/Audi-1/sqli-labs/archive/master.zip download] [http://dummy2dummies.blogspot.com/ blog]			
[https://github.com/SpiderLabs/SQLol SQLol ]	PHP	[https://github.com/SpiderLabs/SQLol/archive/master.zip download]			
[https://github.com/SpiderLabs/SQLol SQLol ]	PHP	[https://github.com/SpiderLabs/SQLol/archive/master.zip download]			
[https://github.com/sakti/twitterlike twitterlike ]	PHP	[https://github.com/sakti/twitterlike git repository]	Sakti Dwi Cahyono		
[http://www.nth-dimension.org.uk/blog.php?id=88 VulnApp ]	.NET	[http://projects.nth-dimension.org.uk/dir?d=VulnApp CVS download] [http://projects.nth-dimension.org.uk/rptview?rn=6 vulns]			
[http://exploit.co.il/hacking/exploit-kb-vulnerable-web-app/ Vulnerable Web App]			Exploit.co.il		
[https://github.com/adamdoupe/WackoPicko WackoPicko ]	PHP	[https://github.com/adamdoupe/WackoPicko/zipball/master download] [http://cs.ucsb.edu/~adoupe/static/black-box-scanners-dimva2010.pdf whitepaper]			
[https://github.com/sectooladdict/wavsep WAVSEP - Web Application Vulnerability Scanner Evaluation Project ]	Java	[https://sourceforge.net/projects/wavsep/ download (builds)] [https://code.google.com/p/wavsep/downloads/list download (old)] [https://github.com/sectooladdict/wavsep/wiki wiki]	Shay Chen		
[https://www.owasp.org/index.php/Category:OWASP_WebGoat_Project WebGoat ]	Java	[http://code.google.com/p/webgoat/downloads/list download] [https://www.owasp.org/index.php/WebGoat_User_and_Install_Guide_Table_of_Contents guide]	OWASP		
[https://www.owasp.org/index.php/WebGoatPHP WebGoatPHP ]	PHP	[https://github.com/OWASP/OWASPWebGoatPHP download] [https://github.com/OWASP/OWASPWebGoatPHP/blob/master/README.md guide]	OWASP		
[https://code.google.com/p/wivet/ WIVET&nbsp;- Web Input Vector Extractor Teaser]		[http://www.webguvenligi.org/projeler/wivet download] [https://code.google.com/p/wivet/downloads/list?can=1&amp;q= tests]			
[https://github.com/s4n7h0/xvwa Xtreme Vulnerable Web Application (XVWA)]	PHP/MySQL	[https://github.com/s4n7h0/xvwa download]	@s4n7h0, @samanL33T		

